Rank_Economic_Strength_2050,ISO3,Country,Population_2025,Population_2050,GDP_PPP_PerCapita_2025,GDP_PPP_PerCapita_2025_2021_IntlDollar,GDP_PPP_PerCapita_2050,GDP_PPP_PerCapita_2050_2021_IntlDollar,GDP_Nominal_PerCapita_2025,GDP_Nominal_PerCapita_2025_2021_USD,GDP_Nominal_PerCapita_2050,GDP_Nominal_PerCapita_2050_2021_USD,GDP_PPP_Total_2025,GDP_PPP_Total_2050,GDP_PPP_Total_2050_2021_IntlDollar,GDP_Nominal_Total_2025,GDP_Nominal_Total_2050,GDP_Nominal_Total_2050_2021_USD,GDP_PPP_PerCapita_P10_2050,GDP_PPP_PerCapita_P90_2050,GDP_Nominal_PerCapita_P10_2050,GDP_Nominal_PerCapita_P90_2050,Real_GDP_PerCapita_CAGR_2025_2050,Structural_GDP_PerCapita_CAGR_Signal,Income_Index_2050,Income_Index_2050_Recomputed_From_PPP,Income_Index_2050_PPP_Mismatch,CPI_U_2021_Annual_Average_2013_Base,CPI_U_2025_Annual_Average_2013_Base,Observed_Inflation_Factor_2021_2025,Long_Run_USD_Inflation_Assumption_2026_2050,Inflation_Factor_2021_to_2050,Inflation_Factor_Low_2021_to_2050,Inflation_Factor_High_2021_to_2050,PPP_to_Nominal_Ratio_2025,PPP_to_Nominal_Ratio_2050,Economic_Strength_Score_2050,Growth_Prospect_Score,Industrialization_Signal,Future_Readiness,Demographic_Dividend,Resource_Drag,Growth_Volatility,Trajectory,Baseline_Source,PPP_Baseline_Year,Nominal_Baseline_Year,PPP_Baseline_Proxy,Nominal_Baseline_Proxy,Projection_Type,Rank_GDP_PPP_PerCapita_2050,Rank_GDP_Nominal_PerCapita_2050,Rank_GDP_PPP_Total_2050,Rank_GDP_Nominal_Total_2050,Rank_Economic_Resilience_2050
86,AZE,Azerbaijan,10369407,11224921,25726.53,21639.17,68865.0,35306.41,7462.94,6277.25,20500.87,10510.6,266768895942.17,773004206673.83,396311663043.61,77386304894.34,230120655103.43,117980599248.16,48295.26,110596.04,12939.6,36216.46,0.019775,0.023072,0.843328,0.843328,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.29009,0.2977,44.42,0.6037,0.38,0.3805,0.5289,0.3451,0.7,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,79,109,74,86,91
87,TUN,Tunisia,12309404,13145140,15054.09,12662.34,50856.93,26073.85,4335.08,3646.33,16440.63,8428.95,185306907984.2,668521505570.92,342744408589.0,53362234302.6,216114399543.88,110799729615.25,38948.56,74890.06,11331.89,26630.86,0.029313,0.035208,0.799753,0.799753,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28797,0.32327,47.31,0.7267,0.4,0.4038,0.4247,0.0137,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,110,120,80,87,74
88,BGR,Bulgaria,6699749,5402218,43195.54,36332.75,90852.84,46579.36,18110.93,15233.51,39000.71,19995.28,289399312721.0,490806862750.78,251631857020.48,121338687202.23,210690317829.87,108018856204.72,68051.25,136753.28,26291.33,64574.99,0.009987,0.02921,0.88316,0.88316,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.41928,0.42927,46.65,0.7841,0.37,0.3657,0.1564,0.0125,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,61,66,90,88,79
89,HND,Honduras,10958022,14846781,7730.34,6502.16,26562.07,13618.11,3519.66,2960.47,13109.7,6721.21,84709179998.67,394361168066.3,202185096803.91,38568548082.62,194636838514.97,99788395063.63,20264.18,39263.64,9001.24,21316.41,0.030012,0.030358,0.706383,0.706383,3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.45531,0.49355,43.61,0.6137,0.31,0.3147,0.3705,0.0148,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,145,131,100,89,96
90,URY,Uruguay,3381399,3254355,37737.28,31741.68,85922.83,44051.79,25066.04,21083.61,57739.3,29602.37,127604807874.4,279623385929.43,143360163045.45,84758290102.77,187904174920.57,96336624578.08,65158.01,127765.64,39406.99,94442.99,0.013196,0.031164,0.87514,0.87514,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.66422,0.67199,47.3,0.8124,0.4,0.4015,0.3326,0.0124,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,64,47,114,90,75
91,BOL,Bolivia,12538402,16110163,13214.94,11115.38,32685.61,16757.59,4530.39,3810.61,11481.76,5886.59,165694205987.27,526570468554.6,269967506387.17,56803851004.16,184973079826.77,94833880917.52,23342.49,51564.61,7379.75,19924.91,0.016556,0.024705,0.736204,0.736204,-3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.34282,0.35128,42.1,0.5309,0.31,0.3112,0.3811,0.1634,0.62,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,130,140,86,91,107
92,HRV,Croatia,3848461,3234155,50677.02,42625.58,112899.84,57882.64,24596.56,20688.72,56228.8,28827.95,195028523574.99,365135589099.29,187201429569.2,94658903794.33,181852654507.89,93234069510.48,85126.71,168831.98,38156.97,92493.86,0.012314,0.022728,0.914391,0.914391,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.48536,0.49804,48.2,0.7854,0.52,0.5242,0.2775,0.0121,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,42,49,105,92,65
93,PNG,Papua New Guinea,10717031,14906592,5042.12,4241.04,18570.03,9520.67,3005.22,2527.76,11736.03,6016.94,54036515875.86,276815803777.11,141920743256.64,32207072895.97,174944138488.28,89692141214.02,14127.82,27525.28,8035.74,19135.2,0.032875,0.031839,0.65493,0.65493,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.59602,0.63199,42.64,0.6319,0.23,0.2289,0.3422,0.0145,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,157,138,115,93,101
94,BEN,Benin,14757381,24433814,4548.54,3825.88,17758.8,9104.76,1521.35,1279.64,6705.64,3437.91,67124464607.43,433915106265.12,222464012354.64,22451080914.64,163844288134.11,84001356978.42,13189.71,26954.98,4482.34,11195.88,0.035289,0.024213,0.648509,0.648509,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.33447,0.3776,38.53,0.5524,0.22,0.2241,0.0279,0.0146,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,159,160,98,94,131
95,PRY,Paraguay,6988225,8640471,19190.3,16141.39,52047.36,26684.17,6650.2,5593.64,18885.84,9682.59,134106143972.22,449713701719.0,230563797044.07,46473124791.2,163182593680.33,83662112732.21,38229.25,79869.33,12484.64,31879.42,0.020311,0.029984,0.803079,0.803079,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.34654,0.36286,43.86,0.6714,0.37,0.3729,0.4086,0.069,0.5,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,108,114,95,95,94
96,SRB,Serbia,6685423,5532862,33746.39,28384.85,68194.71,34962.76,14058.6,11825.0,28863.95,14798.26,225608913788.17,377311942261.13,193444126219.12,93987669775.61,159700237473.0,81876742914.14,51220.24,102369.87,19511.43,47661.74,0.008372,0.027842,0.841922,0.841922,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.4166,0.42326,45.31,0.7369,0.33,0.328,0.2167,0.0126,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,81,87,104,96,85
97,GIN,Guinea,15018937,23404593,4678.12,3934.87,16260.66,8336.68,1734.32,1458.78,6591.03,3379.16,70260325451.17,380574099855.03,195116602371.24,26047638526.82,154260381741.53,79087782319.82,12050.32,24734.99,4395.98,11028.58,0.030487,0.023225,0.63584,0.63584,4e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.37073,0.40534,38.34,0.5347,0.25,0.2538,0.0058,0.0151,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,163,161,103,97,133
98,RWA,Rwanda,14514116,22707905,3896.9,3277.77,19749.49,10125.37,1091.28,917.9,6777.25,3474.63,56560085615.78,448469564375.17,229925940049.85,15839027627.62,153897159444.03,78901561816.06,14733.91,29844.72,4550.49,11265.69,0.046148,0.029575,0.663782,0.663782,-6e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28004,0.34316,38.45,0.6099,0.17,0.1692,0.0671,0.0137,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,154,159,96,98,132
99,SLV,El Salvador,6350404,6663348,13660.0,11489.73,49482.96,25369.43,5669.89,4769.07,22604.74,11589.23,86746500810.74,329722215184.84,169045340651.64,36006067618.1,150623278366.32,77223075148.96,37960.73,72744.57,15607.05,36554.19,0.032191,0.030307,0.795816,0.795816,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.41507,0.45682,43.37,0.6415,0.32,0.3152,0.4139,0.0142,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,112,103,106,99,97
100,ZMB,Zambia,21796102,38083384,4307.87,3623.44,12816.01,6570.64,1211.54,1019.05,3802.38,1949.44,93894702171.26,488076849890.64,250232206245.76,26406756165.9,144807328359.14,74241294714.1,8812.73,20983.55,2353.18,6848.16,0.024093,0.020576,0.60162,0.60162,-8e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28124,0.29669,37.37,0.5437,0.29,0.2938,0.0443,0.2667,0.7,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,168,173,91,100,142
101,TKM,Turkmenistan,7567405,9639706,21362.5,17968.48,52597.32,26966.13,5998.79,5045.72,14847.38,7612.11,161658683334.07,507022714976.37,259945565157.78,45395309422.13,143124404161.01,73378476010.17,35892.83,86763.44,9118.78,26941.12,0.016371,0.016012,0.80459,0.80459,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28081,0.28228,39.48,0.4568,0.3,0.2955,0.4543,0.4961,0.76,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,105,128,87,101,125
102,BHR,Bahrain,1624844,2139472,68704.67,57789.05,147388.04,75564.4,30368.93,25544.0,66043.87,33860.05,111634354284.23,315332583795.23,161667917996.8,49344772780.8,141299018455.74,72442618691.02,111547.05,219594.05,44985.33,108238.94,0.010785,0.021933,0.95271,0.95271,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.44202,0.4481,47.85,0.6395,0.38,0.375,0.6801,0.0713,0.35,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,24,42,109,102,69
103,LUX,Luxembourg,677251,791461,159552.55,134203.25,204802.05,105000.0,140847.69,118470.18,178494.28,91512.26,108057056010.83,162092836634.11,83103405000.0,95389179425.83,141271262155.53,72428388308.57,156696.12,301870.64,122911.0,289403.36,-0.009768,0.022253,1.0,1.0,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.88277,0.87155,46.93,0.6422,0.41,0.4092,0.5928,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,1,5,136,103,77
104,SVN,Slovenia,2113246,1981554,58774.22,49436.32,118591.37,60800.63,35018.16,29454.57,71154.8,36480.37,124204378407.11,234995202044.48,120479731579.02,74001991503.92,140997074647.01,72287815066.47,89345.51,177485.48,48246.56,117140.38,0.008311,0.020907,0.921461,0.921461,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.59581,0.6,47.38,0.738,0.54,0.536,0.2671,0.012,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,37,37,124,104,71
105,MLI,Mali,25083015,46154082,3384.7,2846.94,8668.26,4444.13,1114.03,937.03,3007.57,1541.95,84898369146.65,400075425467.47,205114740438.66,27943161935.1,138811701837.04,71167395895.12,6399.95,13234.21,1998.5,5050.97,0.017973,0.019003,0.54541,0.54541,-3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32914,0.34696,37.4,0.338,0.25,0.2493,0.0,0.0161,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,177,176,99,105,141
106,LTU,Lithuania,2833311,2258767,56968.27,47917.3,113676.9,58281.03,30278.19,25467.67,61011.55,31280.02,161408835808.09,256769630784.92,131643267290.01,85787521969.77,137810870538.3,70654279520.07,85691.41,170035.53,41392.31,100385.78,0.007863,0.022781,0.915377,0.915377,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.53149,0.53671,47.1,0.7791,0.52,0.5211,0.2956,0.012,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,41,46,120,106,76
107,BLR,Belarus,8989089,7453542,33905.86,28518.99,67275.89,34491.69,8797.48,7399.76,17727.79,9088.86,304782795273.61,501443702107.17,257085260065.98,79081332111.32,132134829736.64,67744229160.46,50699.24,100658.04,12023.73,29176.71,0.007635,0.022296,0.839972,0.839972,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.25947,0.26351,44.62,0.492,0.33,0.329,0.267,0.0141,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,83,119,89,107,87
108,MDG,Madagascar,32597083,53185473,1937.24,1629.46,7215.39,3699.26,564.53,474.84,2379.12,1219.75,63148339878.27,383753974473.13,196746892849.98,18402163707.49,126534474802.9,64872982201.83,5375.85,10917.89,1595.31,3959.93,0.033339,0.025719,0.519039,0.519039,-7e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.29141,0.32973,37.81,0.5268,0.22,0.2187,0.0764,0.0151,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,179,180,102,108,138
109,MOZ,Mozambique,35449465,63530959,1751.44,1473.18,4821.37,2471.87,673.57,566.55,1971.07,1010.55,62087614425.64,306306379301.98,157040271623.33,23877536686.07,125223759881.66,64200991537.7,3561.89,7356.57,1310.55,3308.25,0.020918,0.025251,0.461085,0.461085,1.8e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.38458,0.40882,37.83,0.4509,0.26,0.2621,0.0,0.0152,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,187,183,110,109,137
110,LAO,Laos,7838188,9757284,10133.62,8523.62,48943.09,25092.64,2198.52,1849.23,12829.64,6577.63,79429226251.04,477551601495.3,244836014789.76,17232439075.38,125182421016.6,64179797507.69,37589.13,71870.32,8868.04,20723.61,0.044136,0.035097,0.794239,0.794239,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.21695,0.26213,41.72,0.717,0.29,0.29,0.42,0.0139,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,114,132,92,110,112
111,NER,Niger,27731718,52513881,2081.78,1751.03,6208.21,3182.89,743.33,625.23,2378.29,1219.33,57731223454.68,326017377364.37,167145906696.09,20613751016.32,124893401922.54,64031620257.38,4588.56,9468.36,1582.04,3989.94,0.024191,0.018457,0.497427,0.497427,1.7e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.35706,0.38309,37.0,0.2997,0.25,0.2535,0.0,0.0164,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,180,181,108,111,144
112,NAM,Namibia,3076892,4512303,12097.93,10175.84,59469.43,30489.39,4655.79,3916.09,26835.22,13758.16,37224034415.52,268344064914.58,137577365965.17,14325363914.45,121088662524.41,62080967744.36,45239.62,88155.58,18372.7,43757.65,0.044872,0.034195,0.822242,0.822242,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.38484,0.45124,42.01,0.7533,0.29,0.287,0.3254,0.013,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,99,91,117,112,108
113,BFA,Burkina Faso,23969156,37304387,2956.63,2486.89,8818.91,4521.37,1001.32,842.23,3216.93,1649.29,70867939915.58,328984139015.45,168666936250.19,24000775787.01,120005471126.44,61525626155.51,6518.61,13449.09,2140.05,5396.49,0.024199,0.019162,0.547887,0.547887,-1e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.33867,0.36478,36.63,0.3441,0.23,0.2338,0.0,0.0157,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,176,175,107,113,146
114,ZWE,Zimbabwe,16919225,25866386,6030.69,5072.55,11270.41,5778.23,2537.31,2134.19,4562.63,2339.22,102034553831.77,291524851595.69,149461927576.78,42929318791.56,118018725342.29,60507041109.06,7597.77,18814.82,2768.24,8378.53,0.005224,0.016487,0.583146,0.583146,1.2e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.42073,0.40483,36.5,0.3602,0.23,0.2305,0.1842,0.2811,0.82,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,173,169,111,114,147
115,HTI,Haiti,11873884,14710871,3249.9,2733.56,11739.51,6018.73,2113.03,1777.32,7916.36,4058.64,38588883693.56,172698375543.54,88540760613.83,25089892290.19,116456525480.43,59706116586.38,8955.29,17354.64,5434.98,12873.12,0.032074,0.025566,0.589008,0.589008,6e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.65018,0.67433,41.19,0.3573,0.23,0.2331,0.3624,0.0161,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,171,152,131,115,114
116,TJK,Tajikistan,10749191,15574648,5576.86,4690.82,24895.25,12763.55,1403.04,1180.13,7410.82,3799.46,59946734348.03,387734752191.41,198787798480.4,15081554139.34,115420969529.32,59175197223.18,18870.6,37034.77,5055.66,12126.97,0.040852,0.030113,0.697067,0.697067,4e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.25158,0.29768,40.84,0.6432,0.28,0.2848,0.2777,0.0141,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,146,155,101,116,116
117,BWA,Botswana,2551386,3437433,21285.68,17903.87,78996.81,40500.89,7899.66,6644.58,32909.17,16872.21,54307991421.25,271546251977.87,139219095815.37,20155081080.74,113123072122.39,57997087796.37,60602.02,116133.02,22721.5,53217.66,0.033191,0.03266,0.863059,0.863059,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.37113,0.41659,42.2,0.7292,0.3,0.3005,0.4556,0.0128,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,71,76,116,117,106
118,PSE,Palestine,5587190,8451896,4893.84,4116.32,19787.04,10144.62,3106.45,2612.91,13168.14,6751.18,27342810899.47,167237987294.62,85741273199.52,17356348222.78,111295772160.25,57060249056.53,14743.36,29938.59,8830.45,21916.33,0.036738,0.025823,0.664055,0.664055,-3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.63477,0.66549,40.38,0.5637,0.3,0.3024,0.0772,0.0155,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,153,130,133,118,120
119,CYP,Cyprus,1363777,1508484,64409.22,54176.05,120032.24,61539.35,39535.16,33253.91,73604.22,37736.16,87839825797.77,181066712659.08,92831124845.4,53917144280.47,111030792416.54,56924396544.99,92001.78,176611.48,50774.26,119128.71,0.005111,0.022259,0.923197,0.923197,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.61381,0.6132,45.63,0.6635,0.36,0.362,0.5778,0.0123,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,35,35,129,119,82
120,MNG,Mongolia,3510290,4501492,19635.6,16515.95,64523.39,33080.51,6913.68,5815.25,23887.63,12246.95,68926656063.95,290451539718.0,148911651120.92,24269012500.03,107529981718.37,55129565290.76,45411.18,103263.42,15130.78,42052.82,0.028174,0.024153,0.833967,0.833967,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.3521,0.37022,39.23,0.6462,0.3,0.2972,0.4648,0.2856,0.72,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,89,97,112,120,126
121,GAB,Gabon,2585809,4084539,21963.42,18473.93,64324.85,32978.72,8391.28,7058.09,25240.44,12940.53,56793228412.61,262737368926.14,134702868010.08,21698240319.78,103095578836.66,52856090495.3,44920.82,103734.44,15863.84,44774.82,0.023451,0.019591,0.833524,0.833524,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.38206,0.39239,38.89,0.5448,0.3,0.302,0.327,0.3011,0.65,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,90,95,119,121,127
122,SYR,Syria,25080760,37793375,5209.47,4381.8,12039.88,6172.73,1122.35,944.03,2702.79,1385.69,130657428352.51,455027832446.15,233288299663.75,28149278210.69,102147376574.74,52369956510.41,9005.93,18147.0,1819.54,4481.12,0.013802,0.020267,0.59264,0.59264,-1.1e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.21544,0.22449,38.89,0.3365,0.24,0.2445,0.094,0.0167,0.22,conflict_recovery,World Bank API,2022,2022,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,170,179,93,122,127
123,KGZ,Kyrgyzstan,7267758,9642949,8478.28,7131.27,30062.21,15412.6,2597.61,2184.91,10375.42,5319.38,61618071669.0,289888362624.24,148622915757.4,18878801442.37,100049658355.85,51294476986.83,23019.11,44275.93,7150.16,16809.13,0.031308,0.032925,0.724177,0.724177,3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.30638,0.34513,42.35,0.6805,0.33,0.327,0.4207,0.0135,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,136,145,113,123,104
124,YEM,Yemen,41465149,70976407,1061.61,892.95,3311.4,1697.72,405.86,341.37,1362.38,698.48,44020020401.77,235030962653.64,120498065692.04,16828883408.64,96696972350.22,49575587807.33,2466.26,5012.41,913.21,2268.44,0.026034,0.022194,0.40708,0.40708,1.1e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.3823,0.41142,37.62,0.3184,0.17,0.1684,0.0578,0.0167,0.22,conflict_recovery,World Bank API with HDI-model proxy,2024,2024,True,True,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,192,190,123,124,139
125,AFG,Afghanistan,43625235,76885136,2270.39,1909.68,5856.52,3002.58,423.25,356.0,1164.74,597.15,99046475013.35,450279295951.51,230853771650.88,18464195817.63,89551049360.57,45911943289.55,4325.82,8937.68,774.28,1955.27,0.018266,0.015292,0.489044,0.489044,3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.18642,0.19888,35.14,0.2137,0.18,0.1791,0.0,0.017,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,184,191,94,125,152
126,NIC,Nicaragua,6979181,8756437,8960.12,7536.56,28413.51,14567.33,2926.01,2461.13,10199.86,5229.37,62534322453.27,248801153768.57,127557907403.21,20421131886.75,89314448934.74,45790640575.5,21706.69,41942.97,7013.03,16562.32,0.026711,0.027435,0.716069,0.716069,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32656,0.35898,40.34,0.5595,0.26,0.2585,0.3806,0.0144,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,140,146,121,126,121
127,MRT,Mauritania,5290005,9415604,7591.14,6385.08,28189.46,14452.46,2164.91,1820.96,9060.25,4645.1,40157144346.89,265420806680.96,136078640185.84,11452394542.67,85307704746.13,43736422190.82,21164.74,42332.19,6122.22,14966.38,0.033216,0.028685,0.714931,0.714931,-4e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28519,0.32141,38.55,0.6369,0.25,0.2538,0.1743,0.0145,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,141,151,118,127,130
128,LVA,Latvia,1856651,1513807,44794.46,37677.63,101782.13,52182.7,24073.98,20249.17,56001.13,28711.23,83167663644.38,154078506243.96,78994536538.9,44696981222.0,84774899917.17,43463258389.1,76851.46,151996.12,38055.71,91992.08,0.013113,0.020994,0.899489,0.899489,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.53743,0.55021,43.67,0.694,0.35,0.3503,0.3127,0.0121,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,55,50,137,128,95
129,GEO,Georgia,3802040,3664012,28286.1,23792.08,64960.71,33304.72,9228.43,7762.24,22108.48,11334.8,107544902165.81,238016836218.61,122028893736.64,35086844742.8,81005738361.56,41530846286.44,48871.96,97356.16,14969.61,36447.21,0.013545,0.029077,0.834938,0.834938,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32625,0.34034,43.12,0.7465,0.36,0.3632,0.2123,0.013,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,87,106,122,129,99
